,ID,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_0,Education_1,Education_2,Education_3,Education_4,Marital_Status_0,Marital_Status_1,Marital_Status_2,Marital_Status_3,Marital_Status_4,Marital_Status_5,Marital_Status_6,Marital_Status_7
0,5524,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,2174,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,4141,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,6182,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,5324,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,7446,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,965,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,6177,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,4855,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
9,5899,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,387,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,2125,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
